"reporting_year","total_mtco2e","n_facilities","avg_mtco2e_per_facility","expected","baseline"
2014,3204012734,8087,396192.992951651,2299827883,1822045920
2015,3058101660,7984,383028.76503006,2299827883,1822045920
2016,2987659516,7644,390850.27681842,2299827883,1822045920
2016,2987659516,7644,390850.27681842,2299827883,1822045920
2017,2925962668,7570,386520.828005284,2299827883,1822045920
2018,2989550106,7680,389264.33671875,2299827883,1822045920
2019,2861532679,7689,372159.276759006,2299827883,1822045920
2020,2605205375,7652,340460.71288552,2299827883,1822045920
2021,2719521573,7626,356611.798190401,2299827883,1822045920
2022,2696411281,7573,356055.893437211,2299827883,1822045920
2023,2578282380,7511,343267.524963387,2299827883,1822045920
