"state","total_mtco2e","n_facilities","avg_mtco2e_per_facility"
"TX",485547330,1307,371497.574598317
"LA",145975918,410,356038.824390244
"PA",109124885,328,332697.820121951
"FL",109076460,182,599321.208791209
"IN",108605519,198,548512.722222222
"OH",102102450,269,379563.011152416
"CA",99305182,407,243993.076167076
"AL",72203825,172,419789.680232558
"IL",71755570,222,323223.288288288
"OK",70166208,275,255149.847272727
"MI",69044087,226,305504.809734513
"WV",65691116,128,513211.84375
"KY",65132445,140,465231.75
"CO",62456744,222,281336.684684685
"MO",59670949,111,537576.117117117
"GA",54996543,170,323509.076470588
"WY",50847432,69,736919.304347826
"NC",44658028,130,343523.292307692
"IA",43713723,159,274929.075471698
"AZ",42051843,94,447360.031914894
"MS",41835616,117,357569.367521368
"WI",39516430,133,297116.015037594
"NY",38090040,217,175530.138248848
"AR",37891413,98,386647.071428571
"TN",37407507,129,289980.674418605
"ND",37270791,77,484036.246753247
"SC",35207456,97,362963.463917526
"VA",35031151,135,259490.007407407
"MN",34761498,134,259414.164179104
"KS",32784494,110,298040.854545455
"UT",29386892,80,367336.15
"NE",25749251,77,334405.857142857
"WA",24423325,105,232603.095238095
"NM",23744593,99,239844.373737374
"NJ",19927977,85,234446.788235294
"AK",19581674,71,275798.225352113
"MT",18108435,32,565888.59375
"NV",15785486,45,350788.577777778
"MD",14587847,54,270145.314814815
"OR",13807371,58,238058.120689655
"PR",13803420,23,600148.695652174
"CT",11068506,41,269963.56097561
"MA",9341767,68,137378.926470588
"HI",6712639,27,248616.259259259
"SD",6299963,39,161537.512820513
"DE",5816609,20,290830.45
"ID",5703363,37,154144.945945946
"RI",4238401,11,385309.181818182
"ME",3421061,29,117967.620689655
"NH",2392511,17,140735.941176471
"GU",1304859,9,144984.333333333
"VI",581164,5,116232.8
"VT",293263,7,41894.7142857143
"DC",279350,6,46558.3333333333
